Index,Date,Map,Result
0,02/12/21,Nuke,L
1,02/12/21,Ancient,L
2,02/12/21,Overpass,L
3,12/11/21,Nuke,L
4,12/11/21,Dust2,L
5,11/11/21,Nuke,W
6,11/11/21,Ancient,W
7,10/11/21,Mirage,L
8,10/11/21,Nuke,W
9,10/11/21,Dust2,L
10,01/11/21,Vertigo,L
11,01/11/21,Inferno,L
12,01/11/21,Ancient,W
13,31/10/21,Vertigo,W
14,31/10/21,Mirage,W
15,30/10/21,Inferno,L
16,30/10/21,Inferno,L
17,29/10/21,Nuke,W
18,29/10/21,Inferno,W
19,29/10/21,Dust2,L
20,28/10/21,Vertigo,W
21,28/10/21,Inferno,W
22,28/10/21,Mirage,L
23,27/10/21,Nuke,L
24,26/10/21,Nuke,L
25,26/10/21,Inferno,W
26,18/10/21,Nuke,W
27,18/10/21,Inferno,W
28,18/10/21,Vertigo,W
29,18/10/21,Dust2,W
30,03/10/21,Vertigo,L
31,03/10/21,Vertigo,W
32,03/10/21,Mirage,L
33,02/10/21,Nuke,L
34,01/10/21,Mirage,W
35,30/09/21,Nuke,L
36,29/09/21,Mirage,W
37,07/09/21,Inferno,L
38,07/09/21,Vertigo,W
39,07/09/21,Ancient,L
40,31/08/21,Mirage,W
41,31/08/21,Dust2,L
42,31/08/21,Nuke,W
43,30/08/21,Nuke,W
44,30/08/21,Mirage,W
45,29/08/21,Nuke,W
46,29/08/21,Inferno,W
47,28/08/21,Mirage,L
48,28/08/21,Ancient,L
49,27/08/21,Inferno,L
50,27/08/21,Ancient,W
51,27/08/21,Overpass,L
52,09/07/21,Inferno,L
53,09/07/21,Dust2,W
54,09/07/21,Nuke,L
55,08/07/21,Mirage,L
56,08/07/21,Vertigo,L
57,08/07/21,Inferno,W
58,07/07/21,Inferno,W
59,07/07/21,Nuke,W
60,06/07/21,Ancient,L
61,06/07/21,Mirage,L
62,06/07/21,Nuke,W
63,26/06/21,Vertigo,L
64,26/06/21,Nuke,L
65,26/06/21,Mirage,W
66,23/06/21,Mirage,W
67,23/06/21,Ancient,W
68,23/06/21,Vertigo,L
69,23/06/21,Ancient,W
70,23/06/21,Mirage,W
71,22/06/21,Overpass,L
72,22/06/21,Ancient,L
73,30/05/21,Inferno,W
74,30/05/21,Nuke,W
75,30/05/21,Overpass,L
76,27/05/21,Nuke,W
77,27/05/21,Inferno,W
78,23/05/21,Overpass,W
79,23/05/21,Nuke,W
80,19/05/21,Nuke,W
81,19/05/21,Mirage,W
82,11/05/21,Overpass,W
83,11/05/21,Inferno,W
84,30/04/21,Overpass,W
85,30/04/21,Nuke,W
86,30/04/21,Mirage,L
87,30/04/21,Vertigo,L
88,30/04/21,Overpass,W
89,30/04/21,Vertigo,W
90,29/04/21,Overpass,W
91,29/04/21,Nuke,W
92,29/04/21,Mirage,L
93,29/04/21,Overpass,L
94,28/04/21,Nuke,L
95,28/04/21,Vertigo,L
96,28/04/21,Mirage,W
97,28/04/21,Dust2,L
98,28/04/21,Nuke,L
99,28/04/21,Train,W
100,28/04/21,Nuke,W
101,28/04/21,Vertigo,W
102,28/04/21,Train,W
103,27/04/21,Inferno,W
104,27/04/21,Vertigo,W
105,27/04/21,Train,L
106,27/04/21,Dust2,W
107,27/04/21,Nuke,W
108,27/04/21,Vertigo,W
109,27/04/21,Inferno,W
110,27/04/21,Mirage,L
111,27/04/21,Dust2,W
112,27/04/21,Vertigo,L
113,26/04/21,Mirage,W
114,26/04/21,Dust2,W
115,07/04/21,Dust2,W
116,07/04/21,Nuke,W
117,07/04/21,Mirage,W
118,07/04/21,Vertigo,W
119,07/04/21,Train,L
120,06/04/21,Nuke,W
121,06/04/21,Mirage,W
122,23/03/21,Nuke,L
123,23/03/21,Vertigo,L
124,18/03/21,Mirage,W
125,18/03/21,Vertigo,W
126,17/03/21,Mirage,L
127,17/03/21,Dust2,L
128,17/03/21,Inferno,W
129,15/03/21,Dust2,L
130,15/03/21,Mirage,L
131,14/03/21,Inferno,L
132,14/03/21,Mirage,L
133,13/03/21,Inferno,L
134,13/03/21,Vertigo,W
135,13/03/21,Train,L
136,19/02/21,Vertigo,L
137,19/02/21,Dust2,L
138,18/02/21,Inferno,L
139,18/02/21,Nuke,L
140,17/02/21,Nuke,W
141,17/02/21,Dust2,W
142,17/02/21,Mirage,L
143,16/02/21,Vertigo,L
144,16/02/21,Inferno,L
145,16/02/21,Dust2,W
146,16/02/21,Inferno,W
147,31/01/21,Dust2,L
148,31/01/21,Train,L
149,29/01/21,Inferno,W
150,29/01/21,Nuke,W
151,26/01/21,Vertigo,W
152,26/01/21,Train,W
153,25/01/21,Train,W
154,25/01/21,Mirage,W
155,09/12/20,Vertigo,L
156,09/12/20,Nuke,L
157,08/12/20,Dust2,L
158,08/12/20,Inferno,L
159,06/12/20,Vertigo,L
160,06/12/20,Nuke,L
161,06/12/20,Inferno,W
162,06/12/20,Train,L
163,05/12/20,Inferno,W
164,05/12/20,Mirage,W
165,05/12/20,Nuke,L
166,04/12/20,Inferno,W
167,04/12/20,Nuke,W
168,02/12/20,Train,W
169,02/12/20,Inferno,W
170,02/12/20,Nuke,L
171,30/11/20,Dust2,W
172,30/11/20,Inferno,W
173,29/11/20,Inferno,W
174,29/11/20,Vertigo,W
175,27/11/20,Train,W
176,27/11/20,Nuke,W
177,27/11/20,Mirage,L
178,25/11/20,Train,W
179,25/11/20,Inferno,W
180,16/11/20,Nuke,L
181,16/11/20,Dust2,W
182,16/11/20,Inferno,L
183,14/11/20,Inferno,L
184,14/11/20,Nuke,W
185,14/11/20,Dust2,L
186,13/11/20,Inferno,W
187,13/11/20,Dust2,W
188,13/11/20,Nuke,L
189,16/10/20,Dust2,L
190,16/10/20,Nuke,L
191,15/10/20,Dust2,L
192,15/10/20,Nuke,L
193,03/10/20,Nuke,L
194,03/10/20,Inferno,W
195,03/10/20,Dust2,L
196,02/10/20,Inferno,W
197,02/10/20,Dust2,L
198,02/10/20,Nuke,W
199,30/09/20,Inferno,W
200,30/09/20,Train,L
201,30/09/20,Nuke,W
202,29/09/20,Inferno,L
203,29/09/20,Dust2,L
204,29/09/20,Nuke,W
205,25/09/20,Nuke,W
206,25/09/20,Inferno,W
207,24/09/20,Dust2,L
208,24/09/20,Mirage,L
209,24/09/20,Train,W
210,24/09/20,Train,W
211,24/09/20,Nuke,L
212,24/09/20,Mirage,W
213,23/09/20,Nuke,W
214,23/09/20,Vertigo,W
215,22/09/20,Mirage,W
216,22/09/20,Inferno,W
217,22/09/20,Dust2,L
218,22/09/20,Train,L
219,19/09/20,Vertigo,W
220,19/09/20,Nuke,W
221,18/09/20,Mirage,L
222,18/09/20,Inferno,L
223,16/09/20,Mirage,W
224,16/09/20,Nuke,W
225,11/09/20,Inferno,L
226,11/09/20,Nuke,L
227,11/09/20,Dust2,W
228,09/09/20,Train,L
229,09/09/20,Mirage,L
230,09/09/20,Nuke,W
231,05/09/20,Train,W
232,05/09/20,Inferno,L
233,05/09/20,Dust2,W
234,02/09/20,Inferno,W
235,02/09/20,Nuke,W
236,21/08/20,Nuke,L
237,21/08/20,Vertigo,L
238,19/08/20,Dust2,L
239,19/08/20,Train,L
240,19/08/20,Nuke,W
241,26/06/20,Nuke,L
242,26/06/20,Inferno,L
243,24/06/20,Vertigo,L
244,24/06/20,Dust2,L
245,06/06/20,Dust2,L
246,06/06/20,Train,L
247,05/06/20,Train,W
248,05/06/20,Overpass,W
249,04/06/20,Dust2,L
250,04/06/20,Train,T
251,03/06/20,Train,L
252,01/06/20,Train,W
253,31/05/20,Inferno,L
254,31/05/20,Train,W
255,31/05/20,Nuke,W
256,31/05/20,Dust2,L
257,31/05/20,Mirage,L
258,30/05/20,Inferno,W
259,30/05/20,Nuke,L
260,30/05/20,Mirage,W
261,24/05/20,Train,L
262,24/05/20,Inferno,L
263,23/05/20,Dust2,L
264,23/05/20,Vertigo,L
265,23/05/20,Nuke,W
266,22/05/20,Dust2,L
267,22/05/20,Inferno,L
268,10/05/20,Train,W
269,10/05/20,Nuke,W
270,10/05/20,Overpass,L
271,08/05/20,Train,L
272,08/05/20,Overpass,L
273,03/05/20,Dust2,W
274,03/05/20,Train,W
275,03/05/20,Vertigo,L
276,01/05/20,Train,L
277,01/05/20,Mirage,L
278,29/04/20,Train,W
279,29/04/20,Dust2,W
280,29/04/20,Inferno,L
281,26/04/20,Mirage,L
282,26/04/20,Vertigo,L
283,24/04/20,Train,L
284,24/04/20,Inferno,L
285,12/04/20,Mirage,L
286,12/04/20,Nuke,L
287,12/04/20,Vertigo,W
288,12/04/20,Dust2,W
289,12/04/20,Overpass,L
290,11/04/20,Nuke,W
291,11/04/20,Inferno,L
292,11/04/20,Dust2,W
293,09/04/20,Dust2,L
294,09/04/20,Inferno,L
295,08/04/20,Nuke,L
296,08/04/20,Inferno,L
297,07/04/20,Dust2,W
298,07/04/20,Nuke,W
299,06/04/20,Dust2,W
300,06/04/20,Train,L
301,06/04/20,Nuke,W
302,05/04/20,Train,W
303,05/04/20,Nuke,W
304,03/04/20,Train,W
305,03/04/20,Nuke,W
306,01/04/20,Train,W
307,01/04/20,Mirage,W
308,31/03/20,Train,W
