Index,Date,Map,Result
0,02/12/21,Inferno,L
1,02/12/21,Mirage,L
2,02/12/21,Mirage,L
3,19/11/21,Vertigo,W
4,19/11/21,Inferno,W
5,19/11/21,Overpass,L
6,17/11/21,Overpass,L
7,17/11/21,Mirage,L
8,16/11/21,Ancient,W
9,16/11/21,Inferno,W
10,15/11/21,Inferno,W
11,15/11/21,Overpass,L
12,15/11/21,Mirage,W
13,28/10/21,Vertigo,L
14,28/10/21,Mirage,W
15,28/10/21,Inferno,L
16,27/10/21,Overpass,L
17,26/10/21,Mirage,W
18,26/10/21,Inferno,L
19,10/10/21,Mirage,W
20,10/10/21,Inferno,W
21,07/10/21,Mirage,W
22,07/10/21,Ancient,W
23,06/10/21,Vertigo,W
24,06/10/21,Dust2,W
25,04/10/21,Vertigo,W
26,04/10/21,Overpass,W
27,03/10/21,Inferno,W
28,03/10/21,Overpass,L
29,03/10/21,Vertigo,W
30,03/10/21,Inferno,W
31,03/10/21,Overpass,W
32,01/10/21,Mirage,W
33,01/10/21,Vertigo,W
34,29/08/21,Mirage,L
35,29/08/21,Overpass,L
36,27/08/21,Ancient,W
37,27/08/21,Dust2,L
38,27/08/21,Ancient,W
39,23/08/21,Ancient,L
40,23/08/21,Nuke,L
41,23/08/21,Overpass,W
42,22/08/21,Inferno,L
43,22/08/21,Mirage,L
44,20/08/21,Mirage,W
45,20/08/21,Dust2,W
46,06/05/21,Mirage,W
47,06/05/21,Mirage,W
48,05/05/21,Mirage,W
49,05/05/21,Overpass,W
50,05/05/21,Vertigo,L
51,03/05/21,Vertigo,L
52,03/05/21,Inferno,W
53,03/05/21,Mirage,L
54,03/05/21,Overpass,L
55,30/04/21,Train,W
56,30/04/21,Overpass,W
57,30/04/21,Mirage,L
58,29/04/21,Inferno,W
59,29/04/21,Overpass,W
60,28/04/21,Mirage,W
61,28/04/21,Dust2,W
62,28/04/21,Train,L
63,26/04/21,Train,W
64,26/04/21,Dust2,W
65,26/04/21,Overpass,W
66,24/04/21,Mirage,W
67,24/04/21,Inferno,L
68,24/04/21,Vertigo,W
69,22/04/21,Overpass,W
70,22/04/21,Train,W
71,20/04/21,Mirage,W
72,20/04/21,Vertigo,W
73,11/04/21,Inferno,W
74,11/04/21,Overpass,W
75,10/04/21,Dust2,W
76,10/04/21,Vertigo,W
77,10/04/21,Train,L
78,09/04/21,Dust2,W
79,09/04/21,Mirage,W
80,09/04/21,Inferno,L
81,02/04/21,Mirage,W
82,02/04/21,Inferno,W
83,01/04/21,Inferno,L
84,01/04/21,Dust2,L
85,01/04/21,Train,W
86,30/03/21,Overpass,W
87,30/03/21,Mirage,W
88,05/12/20,Inferno,L
89,05/12/20,Train,L
90,04/12/20,Vertigo,W
91,04/12/20,Train,W
92,01/12/20,Dust2,L
93,01/12/20,Inferno,W
94,01/12/20,Train,L
95,22/11/20,Inferno,L
96,22/11/20,Train,L
97,21/11/20,Vertigo,W
98,21/11/20,Inferno,W
99,20/11/20,Inferno,L
100,20/11/20,Overpass,L
101,13/11/20,Vertigo,W
102,13/11/20,Train,W
103,11/10/20,Mirage,L
104,11/10/20,Train,L
105,10/10/20,Overpass,L
106,10/10/20,Train,W
107,10/10/20,Mirage,L
108,09/10/20,Mirage,W
109,09/10/20,Vertigo,L
110,09/10/20,Inferno,W
111,06/10/20,Vertigo,W
112,06/10/20,Mirage,W
113,06/10/20,Train,L
114,04/10/20,Inferno,W
115,04/10/20,Nuke,L
116,04/10/20,Mirage,W
117,03/10/20,Inferno,L
118,03/10/20,Mirage,L
119,30/09/20,Nuke,W
120,30/09/20,Mirage,W
121,29/09/20,Overpass,W
122,29/09/20,Inferno,W
123,29/09/20,Nuke,L
124,27/09/20,Dust2,W
125,27/09/20,Inferno,L
126,27/09/20,Mirage,W
127,26/09/20,Inferno,W
