Index,Date,Map,Result
0,02/12/21,Nuke,L
1,02/12/21,Ancient,L
2,02/12/21,Overpass,L
3,01/11/21,Vertigo,L
4,01/11/21,Inferno,L
5,01/11/21,Ancient,W
6,31/10/21,Vertigo,W
7,31/10/21,Mirage,W
8,30/10/21,Inferno,L
9,30/10/21,Inferno,L
10,09/07/21,Inferno,L
11,09/07/21,Dust2,W
12,09/07/21,Nuke,L
13,08/07/21,Mirage,L
14,08/07/21,Vertigo,L
15,08/07/21,Inferno,W
16,27/02/20,Nuke,L
17,27/02/20,Dust2,L
18,27/02/20,Inferno,W
19,27/02/20,Dust2,W
20,27/02/20,Train,W
21,26/02/20,Nuke,L
22,26/02/20,Inferno,L
23,26/02/20,Dust2,W
24,24/02/20,Dust2,W
25,24/02/20,Inferno,W
26,22/12/19,Nuke,L
27,22/12/19,Mirage,L
28,22/12/19,Inferno,W
29,22/12/19,Overpass,W
30,22/12/19,Train,W
31,18/12/19,Inferno,W
32,18/12/19,Train,W
33,18/12/19,Dust2,W
34,18/12/19,Mirage,W
35,18/12/19,Inferno,L
36,08/12/19,Mirage,W
37,08/12/19,Train,W
38,08/12/19,Inferno,W
39,07/12/19,Dust2,W
40,07/12/19,Overpass,L
41,07/12/19,Train,W
42,06/12/19,Nuke,W
43,06/12/19,Inferno,L
44,06/12/19,Train,W
45,05/12/19,Dust2,W
46,05/12/19,Vertigo,W
47,05/12/19,Inferno,W
48,05/12/19,Train,W
49,05/12/19,Nuke,L
50,04/12/19,Dust2,L
51,04/12/19,Vertigo,W
52,04/12/19,Nuke,L
53,03/12/19,Nuke,W
54,23/10/19,Inferno,L
55,23/10/19,Train,L
56,23/10/19,Train,W
57,23/10/19,Dust2,W
58,21/10/19,Train,L
59,21/10/19,Nuke,W
60,21/10/19,Mirage,L
61,04/10/19,Dust2,L
62,04/10/19,Inferno,W
63,04/10/19,Mirage,L
64,03/10/19,Mirage,W
65,03/10/19,Inferno,L
66,03/10/19,Dust2,W
67,03/10/19,Nuke,W
68,03/10/19,Mirage,W
69,02/10/19,Train,W
70,02/10/19,Mirage,W
71,01/10/19,Inferno,L
72,01/09/19,Dust2,L
73,01/09/19,Mirage,L
74,31/08/19,Mirage,L
75,31/08/19,Vertigo,L
76,30/08/19,Nuke,W
77,29/08/19,Inferno,W
78,28/08/19,Mirage,L
79,04/07/19,Train,L
80,04/07/19,Dust2,W
81,04/07/19,Inferno,L
82,03/07/19,Mirage,W
83,03/07/19,Inferno,W
84,02/07/19,Inferno,W
85,02/07/19,Vertigo,W
86,02/07/19,Train,L
87,22/06/19,Nuke,L
88,22/06/19,Overpass,L
89,20/06/19,Vertigo,W
90,20/06/19,Train,W
91,19/06/19,Nuke,W
92,19/06/19,Mirage,W
93,18/06/19,Inferno,W
94,03/05/19,Overpass,L
95,03/05/19,Mirage,L
96,02/05/19,Inferno,W
97,02/05/19,Mirage,W
98,01/05/19,Inferno,W
99,01/05/19,Train,W
100,30/04/19,Train,W
101,30/04/19,Mirage,W
102,30/04/19,Inferno,L
103,08/12/18,Inferno,L
104,08/12/18,Mirage,L
105,07/12/18,Train,W
106,07/12/18,Mirage,W
107,07/12/18,Cache,L
108,06/12/18,Inferno,L
109,06/12/18,Train,L
110,05/12/18,Train,W
111,05/12/18,Nuke,W
112,04/12/18,Train,W
