Index,Date,Map,Result
0,02/12/21,Mirage,L
1,02/12/21,Mirage,L
2,26/02/20,Vertigo,L
3,26/02/20,Inferno,L
4,24/02/20,Dust2,L
5,24/02/20,Inferno,L
6,03/12/19,Mirage,L
7,03/12/19,Dust2,L
8,03/12/19,Inferno,W
9,03/12/19,Dust2,L
10,08/11/19,Inferno,L
11,08/11/19,Mirage,L
12,07/11/19,Dust2,L
13,07/11/19,Inferno,L
14,01/10/19,Dust2,L
15,01/10/19,Mirage,L
16,01/10/19,Inferno,W
17,01/10/19,Inferno,L
18,19/06/19,Overpass,L
19,19/06/19,Mirage,L
20,18/06/19,Vertigo,L
21,29/05/19,Overpass,L
22,29/05/19,Inferno,L
23,28/05/19,Dust2,L
24,02/04/19,Train,L
25,02/04/19,Dust2,L
26,02/04/19,Inferno,W
27,01/04/19,Overpass,L
28,01/04/19,Inferno,L
29,01/04/19,Mirage,W
30,31/03/19,Dust2,W
31,31/03/19,Inferno,W
32,30/03/19,Dust2,L
33,30/03/19,Inferno,L
34,15/09/18,Mirage,L
35,14/09/18,Overpass,L
36,13/09/18,Train,L
37,12/09/18,Inferno,W
38,31/08/18,Dust2,L
39,31/08/18,Overpass,L
40,31/08/18,Mirage,W
41,29/08/18,Mirage,W
42,29/08/18,Cache,W
43,29/08/18,Inferno,L
44,31/05/18,Inferno,L
45,31/05/18,Overpass,L
46,31/05/18,Mirage,W
47,30/05/18,Inferno,L
48,30/05/18,Overpass,L
49,29/05/18,Inferno,L
50,29/05/18,Train,L
51,28/05/18,Overpass,W
52,28/05/18,Mirage,W
53,05/05/18,Mirage,L
54,05/05/18,Inferno,W
55,05/05/18,Cache,L
56,03/05/18,Train,W
57,03/05/18,Inferno,W
58,01/05/18,Overpass,W
59,01/05/18,Inferno,W
60,01/05/18,Mirage,W
61,18/04/18,Mirage,L
62,18/04/18,Inferno,L
63,27/02/18,Cache,L
64,27/02/18,Overpass,W
65,27/02/18,Inferno,L
66,27/02/18,Inferno,L
67,20/02/18,Cobblestone,L
68,20/02/18,Mirage,L
69,19/02/18,Train,L
70,19/02/18,Inferno,L
71,18/02/18,Inferno,W
72,18/02/18,Cobblestone,W
73,17/02/18,Overpass,L
74,17/02/18,Mirage,L
75,05/07/17,Cobblestone,L
76,04/07/17,Inferno,L
77,04/07/17,Cache,L
78,06/04/17,Mirage,L
79,05/04/17,Cobblestone,L
80,04/04/17,Mirage,L
81,16/02/17,Cobblestone,L
82,15/02/17,Cobblestone,L
83,17/11/16,Mirage,L
84,17/11/16,Mirage,L
85,16/11/16,Overpass,L
86,16/11/16,Overpass,L
87,16/11/16,Mirage,L
88,09/09/16,Mirage,L
89,09/09/16,Overpass,W
90,09/09/16,Train,L
91,07/09/16,Cobblestone,L
92,07/09/16,Mirage,W
93,16/04/16,Mirage,L
94,16/04/16,Inferno,L
95,14/04/16,Inferno,W
96,14/04/16,Overpass,L
97,14/04/16,Cache,W
98,13/04/16,Cobblestone,W
99,12/04/16,Mirage,L
