Index,Date,Team1,Team2,Map,winner,Team1_region,Team2_region,Event_priority
0,2021-11-13,fnatic,MAD Lions,Ancient,1,EU,EU,1
1,2021-12-11,forZe,ENCE,Mirage,1,CIS,EU,1
2,2021-12-11,forZe,ENCE,Nuke,1,CIS,EU,1
3,2021-12-11,ENCE,forZe,Ancient,1,EU,CIS,1
4,2021-12-11,1WIN,Nemiga,Nuke,2,CIS,CIS,2
5,2021-12-11,Nemiga,1WIN,Dust2,1,CIS,CIS,2
6,2021-12-11,1WIN,Nemiga,Mirage,1,CIS,CIS,2
7,2021-12-11,Dignitas,Copenhagen Flames,Mirage,2,EU,EU,2
8,2021-12-11,Copenhagen Flames,Dignitas,Inferno,1,EU,EU,2
9,2021-12-11,Dignitas,Copenhagen Flames,Ancient,1,EU,EU,2
10,2021-12-11,MAD Lions,MOUZ,Nuke,1,EU,EU,1
11,2021-12-11,MOUZ,MAD Lions,Dust2,2,EU,EU,1
12,2021-11-11,fnatic,ENCE,Nuke,1,EU,EU,1
13,2021-11-11,ENCE,fnatic,Overpass,2,EU,EU,1
14,2021-11-11,1WIN,LDLC,Ancient,1,CIS,EU,2
15,2021-11-11,LDLC,1WIN,Vertigo,2,EU,CIS,2
16,2021-11-11,1WIN,LDLC,Nuke,2,CIS,EU,2
17,2021-11-11,forZe,Spirit,Nuke,1,CIS,CIS,1
18,2021-11-11,Spirit,forZe,Ancient,2,CIS,CIS,1
19,2021-11-11,GamerLegion,MOUZ,Nuke,2,EU,EU,1
20,2021-11-11,MOUZ,GamerLegion,Ancient,1,EU,EU,1
21,2021-11-11,MAD Lions,BIG,Dust2,2,EU,EU,1
22,2021-11-11,BIG,MAD Lions,Mirage,1,EU,EU,1
23,2021-10-11,Spirit,fnatic,Inferno,2,CIS,EU,1
24,2021-10-11,fnatic,Spirit,Mirage,1,EU,CIS,1
25,2021-10-11,Sinners,Entropiq,Mirage,2,EU,CIS,2
26,2021-10-11,Entropiq,Sinners,Nuke,1,CIS,EU,2
27,2021-10-11,DBL PONEY,Finest,Overpass,2,EU,EU,2
28,2021-10-11,Finest,DBL PONEY,Vertigo,1,EU,EU,2
29,2021-10-11,forZe,ENCE,Nuke,2,CIS,EU,1
30,2021-10-11,ENCE,forZe,Ancient,1,EU,CIS,1
31,2021-10-11,SKADE,Fiend,Mirage,2,EU,EU,2
32,2021-10-11,SKADE,Fiend,Inferno,1,EU,EU,2
33,2021-10-11,Fiend,SKADE,Dust2,1,EU,EU,2
34,2021-10-11,GamerLegion,BIG,Vertigo,2,EU,EU,1
35,2021-10-11,GamerLegion,BIG,Overpass,1,EU,EU,1
36,2021-10-11,BIG,GamerLegion,Mirage,1,EU,EU,1
37,2021-10-11,MAD Lions,MOUZ,Mirage,1,EU,EU,1
38,2021-10-11,MAD Lions,MOUZ,Nuke,2,EU,EU,1
39,2021-10-11,MOUZ,MAD Lions,Dust2,2,EU,EU,1
40,2021-09-11,forZe,Finest,Inferno,2,CIS,EU,2
41,2021-09-11,forZe,Finest,Overpass,2,CIS,EU,2
42,2021-09-11,Finest,forZe,Mirage,2,EU,CIS,2
43,2021-09-11,Movistar Riders,Nemiga,Mirage,1,EU,CIS,2
44,2021-09-11,Nemiga,Movistar Riders,Inferno,2,CIS,EU,2
45,2021-09-11,BLINK,Sprout,Vertigo,2,EU,EU,2
46,2021-09-11,Sprout,BLINK,Overpass,1,EU,EU,2
47,2021-09-11,Entropiq,Lyngby Vikings,Nuke,1,CIS,EU,3
48,2021-09-11,Lyngby Vikings,Entropiq,Overpass,2,EU,CIS,3
49,2021-09-11,Entropiq,Lyngby Vikings,Vertigo,2,CIS,EU,3
50,2021-03-11,GamerLegion,Finest,Mirage,2,EU,EU,2
