Index,Event,Teams_number,Prize,Type
0,IQ Option Latin America Cup 2021 Finals,2,15000,Local LAN
1,Polish Esport League Autumn 2021 Finals,4,24287,Local LAN
2,Pinnacle Fall Series 3,20,68000,Online
3,Vodafone Czech Championship 2021,4+,18500,Local LAN
4,OMEN WGR Retake Season 3,4+,14179,Online
5,KeyDrop Cup 1,8,44500,Online
6,LEGION UPEA Ukrainian Championship 2021 Finals,4,13700,Local LAN
7,BLAST Premier Fall Final 2021,8,425000,Intl. LAN
8,ESL Pro League Season 15 Conference,16,27000,Online
9,Global Esports Tour Dubai 2022 MENA Closed Qualifier,2+,12000,Online
10,Red Bull Flick 2vs2 Helsinki Invitational 2021,8+,56424,Intl. LAN
11,UNITED Pro Series 2021 Finals,6,31983,Local LAN
12,V4 Future Sports Festival 2021,8,326360,Intl. LAN
13,FlowFiReLEAGUE 2021 Finals,12,83000,Intl. LAN
14,Telia League Fall 2021 Finals,4,19548,Local LAN
15,UESF Parimatch Championship of Ukraine 2021 Finals,2,11232,Local LAN
16,REPUBLEAGUE TIPOS Season 2,26,120000,Online
17,Pinnacle Fall Series 3 Regionals,16,16000,Online
18,SiGMA Esports Technologies Cup 2021,8,15000,Intl. LAN
19,IESF World Championship 2021,11,20000,Intl. LAN
20,William Hill Cup 2021,12,50000,Online
21,V4 Future Sports Festival 2021 Play-In,8,17368,Intl. LAN
22,ESEA Autumn 2021 Cash Cup 5 North America,8+,15000,Online
23,Fragadelphia 16 The Block,8+,10000,Local LAN
24,Master League Portugal VIII Finals,4,13286,Reg. LAN
25, WePlay Academy League Season 2 Finals,4,88000,Intl. LAN
26,iBUYPOWER Mythic Masters Winter 2021,8,50000,Online
27,DreamHack Open November 2021,8,100000,Online
28,ESL Meisterschaft Autumn 2021,6+,35515,Online
29,ESL Polish Championship Autumn 2021 Finals,4,25120,Local LAN
30,Pinnacle Fall Series 2,20,68000,Online
31,ESEA Autumn 2021 Cash Cup 4 North America,18+,15000,Online
32,PGL Major Stockholm 2021,16,2000000,Major
33,La Liga Pro 2021 Clausura South,16,10000,Online
34,CEE Champions 2021,8+,20000,Online
35,ESL Proximus Benelux Winter Championship 2021 Finals,4,11700,Reg. LAN
36,ESEA Autumn 2021 Cash Cup 3 North America,10+,15000,Online
37,ESL Turkey Championship Summer 2021,4+,10000,Online
38,ESL National Championship France Autumn 2021,4+,11700,Online
39,ESL Australia & NZ Championship Season 13,16,14800,Online
40,Sazka eLEAGUE Fall 2021 Finals,4,32143,Reg. LAN
41,Malta Vibes Knockout Series 3,40,50000,Online
42,V4 Future Sports Festival 2021 International Cup,8,29565,Online
43,ESEA Autumn 2021 Cash Cup 2 North America,6+,15000,Online
44,BLAST Premier Fall Showdown 2021,16,162500,Online
45,ESEA Premier Season 38 North America,16,50000,Online
46,ESEA Premier Season 38 Europe,16,50000,Online
47,Elisa Invitational Fall 2021,20,100000,Online
48,Funspark ULTI 2021 Asia Regional Series 3,8+,15000,Online
49,ESEA Advanced Season 38 North America,12+,20000,Online
50,Knights Revival 2021,4+,20000,Online
51,ESEA Advanced Season 37 North America,12+,20000,Online
52,IEM Cologne 2021 Play-In,16,28000,Intl. LAN
53,POWER Ligaen Season 17,6+,12748,Online
54,ESEA Premier Season 37 Europe,18,50000,Online
55,Romanian Esports League 3 Finals,4,19000,Local LAN
56,TippmixPro Masters 2021,4,11000,Online
57,StarLadder CIS RMR 2021,10,100000,Online
58,Elisa Invitational Summer 2021,18,100000,Online
59,DreamHack Open June 2021 Asia,4,30000,Online
60,DreamHack Open June 2021 North America,8,70000,Online
61,GameGune 23,8,11872,Online
62,Spring Sweet Spring 3,20,68000,Online
63,ESEA Premier Season 37 North America,18,50000,Online
64,ESEA Summer 2021 Cash Cup 2 North America,6+,15000,Online
65,Gamers Without Borders 2021,8,1500000,Online
66,European Development Championship 4,16,30000,Online
