Date,Team,Won / Lost,Pistol Win,Round 2 Conversion,Round 2 Break
2021-11-12,fnatic,13 - 13,50.0%,84.6%,53.8%
2021-11-12,Extra Salt,12 - 18,40.0%,100.0%,38.9%
2021-11-12,MOUZ NXT,18 - 12,60.0%,72.2%,33.3%
2021-11-12,G2,21 - 13,64.7%,76.2%,25.0%
2021-11-12,FaZe,15 - 9,62.5%,86.7%,55.6%
2021-11-12,MOUZ,32 - 22,59.3%,84.4%,27.3%
2021-11-12,Gambit,13 - 13,50.0%,69.2%,23.1%
2021-11-12,Lyngby Vikings,25 - 21,54.3%,80.0%,33.3%
2021-11-12,Heroic,25 - 27,48.1%,84.0%,18.5%
2021-11-12,Copenhagen Flames,27 - 25,51.9%,74.1%,32.0%
2021-11-12,FURIA,9 - 13,50.0%,88.9%,16.7%
2021-11-12,FunPlus Phoenix,17 - 13,56.7%,70.6%,30.8%
2021-11-12,forZe,20 - 16,55.6%,78.9%,12.5%
2021-11-12,Liquid,14 - 10,58.3%,64.3%,20.0%
2021-11-12,Entropiq,36 - 34,51.4%,72.2%,20.6%
2021-11-12,1WIN,22 - 26,45.8%,81.8%,42.3%
2021-11-12,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-12,Vitality,11 - 15,42.3%,90.9%,13.3%
2021-11-12,Finest,11 - 13,45.8%,81.8%,7.7%
2021-11-12,BLINK,20 - 10,66.7%,85.0%,50.0%
2021-11-12,K23,12 - 12,50.0%,66.7%,8.3%
2021-11-12,INDE IRAE,13 - 19,40.6%,76.9%,31.6%
2021-11-12,BIG,24 - 14,60.5%,58.3%,14.3%
2021-11-12,MAD Lions,17 - 23,42.5%,82.4%,26.1%
2021-11-12,ENCE,27 - 31,46.6%,77.8%,19.4%
2021-11-12,Unique,9 - 15,37.5%,66.7%,26.7%
2021-11-12,Movistar Riders,18 - 16,52.9%,77.8%,18.8%
2021-11-12,GamerLegion,19 - 25,43.2%,73.7%,20.0%
2021-11-12,HAVU,13 - 9,59.1%,53.8%,22.2%
2021-11-12,Anonymo,6 - 18,25.0%,50.0%,11.1%
2021-11-12,Party Astronauts,19 - 19,50.0%,63.2%,10.5%
2021-11-12,Astralis,9 - 19,32.1%,88.9%,10.5%
2021-11-12,Sinners,13 - 19,40.6%,84.6%,36.8%
2021-11-12,DBL PONEY,16 - 14,53.3%,93.8%,21.4%
2021-11-12,SKADE,10 - 18,35.7%,60.0%,11.1%
2021-11-12,LDLC,11 - 19,36.7%,72.7%,21.1%
2021-11-12,Spirit,22 - 18,55.0%,72.7%,17.6%
2021-11-12,Dignitas,14 - 8,63.6%,64.3%,0.0%
2021-11-12,NIP,14 - 14,50.0%,71.4%,16.7%
2021-11-12,Nemiga,12 - 12,50.0%,58.3%,25.0%
2021-11-11,AGO,13 - 11,54.2%,69.2%,36.4%
2021-11-11,fnatic,13 - 13,50.0%,84.6%,53.8%
