Date,Team,Map Count,K/D Diff.,K/D,Rating
2021-11-12,fnatic,13,+197,1.20,1.16
2021-11-12,Extra Salt,15,+202,1.16,1.14
2021-11-12,G2,17,+198,1.14,1.13
2021-11-12,MOUZ NXT,15,+177,1.15,1.12
2021-11-12,Lyngby Vikings,23,+161,1.08,1.11
2021-11-12,Gambit,13,+87,1.08,1.09
2021-11-12,FaZe,12,+72,1.07,1.07
2021-11-12,MOUZ,27,+173,1.08,1.07
2021-11-12,Heroic,26,+133,1.06,1.07
2021-11-12,FunPlus Phoenix,15,+42,1.03,1.06
2021-11-12,Liquid,12,+31,1.03,1.06
2021-11-12,Copenhagen Flames,26,+48,1.02,1.05
2021-11-12,Entropiq,35,+59,1.02,1.05
2021-11-12,Virtus.pro,24,+58,1.03,1.05
2021-11-12,Finest,12,+2,1.00,1.04
2021-11-12,INDE IRAE,16,-9,0.99,1.03
2021-11-12,Vitality,13,-13,0.99,1.03
2021-11-12,forZe,18,+42,1.03,1.03
2021-11-12,K23,12,+2,1.00,1.03
2021-11-12,1WIN,24,+8,1.00,1.03
2021-11-12,MAD Lions,20,-20,0.99,1.03
2021-11-12,BLINK,15,-24,0.98,1.02
2021-11-12,Anonymo,12,-47,0.96,1.02
2021-11-12,Unique,12,-40,0.96,1.02
2021-11-12,BIG,19,-37,0.98,1.02
2021-11-12,GamerLegion,22,-76,0.96,1.01
2021-11-12,ENCE,29,-79,0.97,1.01
2021-11-12,Movistar Riders,17,-28,0.98,1.01
2021-11-12,Astralis,14,-66,0.94,1.00
2021-11-12,Party Astronauts,19,-128,0.93,0.99
2021-11-12,Sinners,16,-133,0.91,0.97
2021-11-12,LDLC,15,-110,0.91,0.97
2021-11-12,SKADE,14,-110,0.92,0.97
2021-11-12,DBL PONEY,15,-123,0.91,0.96
2021-11-12,Nemiga,12,-126,0.88,0.94
2021-11-12,Spirit,20,-225,0.88,0.93
2021-11-12,NIP,14,-154,0.87,0.93
2021-11-11,AGO,12,+206,1.20,1.18
2021-11-11,fnatic,13,+197,1.20,1.16
2021-11-11,Extra Salt,15,+202,1.16,1.14
2021-11-11,G2,17,+198,1.14,1.13
2021-11-11,MOUZ NXT,15,+177,1.15,1.12
2021-11-11,Lyngby Vikings,26,+215,1.10,1.12
2021-11-11,Fiend,14,+132,1.12,1.12
2021-11-11,Gambit,13,+87,1.08,1.09
2021-11-11,MOUZ,25,+200,1.10,1.08
2021-11-11,FaZe,12,+72,1.07,1.07
2021-11-11,FunPlus Phoenix,17,+77,1.05,1.07
2021-11-11,Heroic,26,+133,1.06,1.07
2021-11-11,Liquid,12,+31,1.03,1.06
2021-11-11,Finest,15,+17,1.01,1.05
2021-11-11,Entropiq,35,+59,1.02,1.05
2021-11-11,Virtus.pro,24,+58,1.03,1.05
2021-11-11,1WIN,23,+45,1.02,1.04
