Date,Team,Won / Lost,Pistol Win,Round 2 Conversion,Round 2 Break
2021-11-12,Extra Salt,39 - 29,57.4%,94.9%,31.0%
2021-11-12,Bad News Bears,17 - 9,65.4%,76.5%,22.2%
2021-11-12,ORDER,26 - 22,54.2%,88.5%,40.9%
2021-11-12,MOUZ NXT,25 - 15,62.5%,76.0%,26.7%
2021-11-12,LookingForOrg,34 - 24,58.6%,73.5%,33.3%
2021-11-12,Fiend,18 - 20,47.4%,94.4%,45.0%
2021-11-12,fnatic,15 - 17,46.9%,86.7%,47.1%
2021-11-12,MIBR,13 - 17,53.3%,76.9%,18.8%
2021-11-12,G2,26 - 18,59.1%,76.9%,29.4%
2021-11-12,Nexus,11 - 15,42.3%,72.7%,33.3%
2021-11-12,Tranquillum,14 - 14,50.0%,92.9%,14.3%
2021-11-12,Izako Boars,15 - 13,53.6%,80.0%,0.0%
2021-11-12,River Plate,8 - 20,28.6%,100.0%,30.0%
2021-11-12,SWS,19 - 13,59.4%,68.4%,38.5%
2021-11-12,MOUZ,32 - 22,59.3%,84.4%,27.3%
2021-11-12,Keyd,18 - 14,56.2%,94.4%,28.6%
2021-11-12,Lyngby Vikings,33 - 27,55.0%,78.8%,33.3%
2021-11-12,1WIN,28 - 32,46.7%,85.7%,40.6%
2021-11-12,Gambit,13 - 13,50.0%,69.2%,23.1%
2021-11-12,SAW,16 - 16,50.0%,68.8%,31.2%
2021-11-12,Eros,12 - 16,42.9%,91.7%,12.5%
2021-11-12,Party Astronauts,48 - 30,61.5%,72.9%,16.7%
2021-11-12,AVE,19 - 15,55.9%,94.7%,20.0%
2021-11-12,MAD Lions,27 - 27,50.0%,77.8%,29.6%
2021-11-12,Eternal Fire,23 - 13,63.9%,82.6%,7.7%
2021-11-12,Heroic,25 - 27,48.1%,84.0%,18.5%
2021-11-12,INDE IRAE,16 - 24,40.0%,81.2%,29.2%
2021-11-12,Finest,15 - 15,50.0%,86.7%,13.3%
2021-11-12,K23,17 - 15,53.1%,70.6%,6.7%
2021-11-12,forZe,22 - 18,55.0%,81.0%,16.7%
2021-11-12,Entropiq,39 - 35,52.7%,74.4%,22.9%
2021-11-12,Copenhagen Flames,32 - 26,55.2%,75.0%,34.6%
2021-11-12,EC Brugge,24 - 24,50.0%,75.0%,33.3%
2021-11-12,ChocoCheck,11 - 25,30.6%,100.0%,28.0%
