Date,Team,Map Count,K/D Diff.,K/D,Rating
2021-11-12,Extra Salt,34,+640,1.25,1.20
2021-11-12,LookingForOrg,29,+447,1.19,1.17
2021-11-12,MIBR,15,+161,1.15,1.16
2021-11-12,Fiend,19,+254,1.17,1.16
2021-11-12,fnatic,16,+224,1.18,1.16
2021-11-12,ORDER,24,+343,1.17,1.15
2021-11-12,MOUZ NXT,20,+291,1.20,1.15
2021-11-12,G2,22,+250,1.13,1.13
2021-11-12,Lyngby Vikings,30,+250,1.10,1.12
2021-11-12,River Plate,14,+113,1.08,1.12
2021-11-12,Tranquillum,14,+112,1.10,1.11
2021-11-12,Izako Boars,14,+100,1.07,1.10
2021-11-12,AVE,17,+124,1.08,1.09
2021-11-12,SAW,16,+88,1.06,1.09
2021-11-12,SWS,16,+114,1.09,1.09
2021-11-12,1WIN,30,+188,1.08,1.08
2021-11-12,Party Astronauts,39,+159,1.05,1.08
2021-11-12,Eternal Fire,18,+83,1.06,1.08
2021-11-12,Keyd,16,+102,1.07,1.08
2021-11-12,INDE IRAE,20,+50,1.03,1.08
2021-11-12,MOUZ,27,+173,1.08,1.07
2021-11-12,Heroic,26,+133,1.06,1.07
2021-11-12,Finest,15,+50,1.04,1.07
2021-11-12,MAD Lions,27,+102,1.04,1.07
2021-11-12,K23,16,+67,1.05,1.06
2021-11-12,Triumph,19,-34,0.98,1.06
2021-11-12,FunPlus Phoenix,17,+44,1.03,1.06
2021-11-12,Northern Forces,15,+18,1.01,1.06
2021-11-12,Entropiq,37,+98,1.03,1.05
2021-11-12,forZe,20,+65,1.04,1.05
2021-11-12,Copenhagen Flames,29,+52,1.02,1.05
2021-11-12,Wisla Krakow,28,+47,1.02,1.05
2021-11-12,EC Brugge,24,-12,0.99,1.05
2021-11-12,Lynn Vision,16,-10,0.99,1.05
2021-11-12,Strife,18,+20,1.01,1.04
2021-11-12,The Big Dogs,17,-6,1.00,1.04
2021-11-12,Virtus.pro,27,+56,1.02,1.04
2021-11-12,Movistar Riders,24,+42,1.02,1.04
2021-11-12,ChocoCheck,18,+5,1.00,1.04
2021-11-12,Sinners,25,-32,0.99,1.03
2021-11-12,RBG,29,-18,0.99,1.03
2021-11-12,SKADE,21,-34,0.98,1.03
2021-11-12,VERTEX,24,+16,1.01,1.03
2021-11-12,TeamOne,25,-24,0.99,1.03
2021-11-12,BLINK,20,-26,0.99,1.03
2021-11-12,Nemiga,24,+13,1.01,1.03
2021-11-12,DBL PONEY,20,-29,0.98,1.02
2021-11-12,Unique,14,-36,0.97,1.02
2021-11-12,GamerLegion,22,-76,0.96,1.02
2021-11-12,LDLC,17,-23,0.98,1.02
2021-11-12,9z Academy,16,-67,0.96,1.02
2021-11-12,ex-PR Stars,14,-19,0.99,1.01
2021-11-12,ENCE,29,-79,0.97,1.01
2021-11-12,ATK,27,-116,0.96,1.01
2021-11-12,BIG,20,-57,0.97,1.01
2021-11-12,INTZ,20,-52,0.97,1.00
2021-11-12,Astralis,14,-66,0.94,1.00
2021-11-12,9z,15,-64,0.95,1.00
2021-11-12,Anonymo,21,-156,0.92,0.99
2021-11-12,Eros,14,+55,1.04,0.99
2021-11-12,Enterprise,21,-106,0.94,0.99
2021-11-12,HONORIS,16,-151,0.90,0.99
2021-11-12,8Ballers,18,-146,0.91,0.97
2021-11-12,Sylyx,14,-128,0.90,0.96
2021-11-12,Dignitas,14,-156,0.89,0.95
2021-11-12,NIP,15,-129,0.90,0.95
